,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,unit_cell_formula,pretty_formula,is_hubbard,elements,nelements,e_above_hull,hubbards,is_compatible,spacegroup,task_ids,band_gap,density,icsd_id,icsd_ids,cif,total_magnetization,material_id,oxide_type,tags,elasticity,piezo,diel,deprecated,full_formula
0,-34.09870764,-3.409870764,286.8780734087042,-1.6437281067020002,10,"{'K': 6.0, 'Cl': 2.0, 'O': 2.0}",K3ClO,False,"['Cl', 'K', 'O']",3,0.007473619999998959,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Amm2', 'number': 38, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'A 2 -2'}","['mp-847924', 'mp-847451', 'mp-744131', 'mp-673798', 'mp-722059', 'mp-1115377', 'mp-1410426', 'mp-1738905']",1.0272999999999999,1.953523186375165,,[],"# generated using pymatgen
data_K3ClO
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.37415510
_cell_length_b   7.37415510
_cell_length_c   5.27561400
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.05389697
_symmetry_Int_Tables_number   1
_chemical_formula_structural   K3ClO
_chemical_formula_sum   'K6 Cl2 O2'
_cell_volume   286.87807341
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  K  K0  1  0.29375800  0.70624200  0.00000000  1
  K  K1  1  0.21395200  0.19775400  0.00000000  1
  K  K2  1  0.80224600  0.78604800  0.00000000  1
  K  K3  1  0.52501100  0.97743900  0.50000000  1
  K  K4  1  0.02256100  0.47498900  0.50000000  1
  K  K5  1  0.70568000  0.29432000  0.00000000  1
  Cl  Cl6  1  0.99904600  0.00095400  0.50000000  1
  Cl  Cl7  1  0.49693300  0.50306700  0.50000000  1
  O  O8  1  0.00554800  0.49243500  0.00000000  1
  O  O9  1  0.50756500  0.99445200  0.00000000  1
",1.515e-05,mp-673798,oxide,[],,"{'eij_max': 1.4457957668356896, 'piezoelectric_tensor': [[0.0, 0.0, 0.0, 0.0, 0.0, 0.16419999999999998], [0.9860499999999998, 1.04985, 0.12588, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], 'v_max': [0.0, 1.0, 0.0]}","{'e_electronic': [[2.9775629999999995, 0.0, 0.0], [0.0, 2.7672640000000004, 0.0], [0.0, 0.0, 2.9683339999999996]], 'e_total': [[63.38863699999998, 0.0, 0.0], [0.0, 49.48180899999999, 0.0], [0.0, 0.0, 2.9714209999999994]], 'n': 1.7042262173784324, 'poly_electronic': 2.904387, 'poly_total': 38.61395566666666}",False,K6Cl2O2
0,-52.07490938,-5.207490938,127.30875709250624,-2.991485681170368,10,"{'Li': 2.0, 'Mn': 2.0, 'F': 6.0}",LiMnF3,True,"['F', 'Li', 'Mn']",3,0.5901566799999847,"{'Li': 0.0, 'Mn': 3.9, 'F': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Amm2', 'number': 38, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'A 2 -2'}","['mp-807262', 'mp-778819', 'mp-816140', 'mp-816948', 'mp-1119848', 'mp-834521', 'mp-792783', 'mp-830945', 'mp-833821', 'mp-1405023', 'mp-1771946']",3.2554000000000003,3.101048950353377,,[],"# generated using pymatgen
data_LiMnF3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.41693581
_cell_length_b   6.41693581
_cell_length_c   3.24247100
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   107.53874796
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiMnF3
_chemical_formula_sum   'Li2 Mn2 F6'
_cell_volume   127.30875709
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.49982600  0.50017400  0.00000000  1
  Li  Li1  1  0.99198800  0.00801200  0.00000000  1
  Mn  Mn2  1  0.00069700  0.50294300  0.50000000  1
  Mn  Mn3  1  0.49705700  0.99930300  0.50000000  1
  F  F4  1  0.19223900  0.44876500  0.00000000  1
  F  F5  1  0.45049900  0.19383600  0.00000000  1
  F  F6  1  0.86145500  0.13854500  0.50000000  1
  F  F7  1  0.13765100  0.86234900  0.50000000  1
  F  F8  1  0.80616400  0.54950100  0.00000000  1
  F  F9  1  0.55123500  0.80776100  0.00000000  1
",1.0006923,mp-778819,None,[],,"{'eij_max': 0.42377241179670955, 'piezoelectric_tensor': [[0.0, 0.0, 0.0, 0.0, 0.0, -0.081], [-0.15401, -0.26488, -0.29275, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], 'v_max': [0.0, 1.0, 0.0]}","{'e_electronic': [[2.190232, 0.0, 0.0], [0.0, 2.100049, 0.0], [0.0, 0.0, 2.279017]], 'e_total': [[35.141940000000005, 0.0, 0.0], [0.0, 10.764413000000001, 0.0], [0.0, 0.0, 2.279018]], 'n': 1.4797857953095779, 'poly_electronic': 2.189766, 'poly_total': 16.061790333333338}",False,Li2Mn2F6
0,-52.2844788,-5.22844788,121.13866971366161,-2.8470738210473336,10,"{'Li': 2.0, 'Fe': 2.0, 'F': 6.0}",LiFeF3,True,"['F', 'Fe', 'Li']",3,0.08750032299999866,"{'Li': 0.0, 'Fe': 5.3, 'F': 0.0}",True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Amm2', 'number': 38, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'A 2 -2'}","['mp-816118', 'mp-777672', 'mp-815389', 'mp-806921']",3.0807,3.283862674991411,,[],"# generated using pymatgen
data_LiFeF3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.23539600
_cell_length_b   6.30375306
_cell_length_c   6.30477574
_cell_angle_alpha   70.40473938
_cell_angle_beta   89.80160648
_cell_angle_gamma   89.81444461
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiFeF3
_chemical_formula_sum   'Li2 Fe2 F6'
_cell_volume   121.13866971
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.49888200  0.00012000  0.99501700  1
  Li  Li1  1  0.49968500  0.49899600  0.50158900  1
  Fe  Fe2  1  0.99758000  0.49767800  0.00070300  1
  Fe  Fe3  1  0.99753100  0.00014600  0.50070500  1
  F  F4  1  0.49845100  0.55325800  0.18663100  1
  F  F5  1  0.49636600  0.81365800  0.44736600  1
  F  F6  1  0.98844400  0.85738200  0.86225500  1
  F  F7  1  0.98869000  0.13728800  0.14216400  1
  F  F8  1  0.49599900  0.43621700  0.81868200  1
  F  F9  1  0.49796000  0.18140200  0.56435600  1
",4.0000229,mp-777672,None,[],,,,False,Li2Fe2F6
0,-82.7787493,-8.27787493,116.35561242130827,-3.4995858410833334,10,"{'Tm': 2.0, 'B': 2.0, 'O': 6.0}",TmBO3,False,"['B', 'O', 'Tm']",3,0.0300235521500003,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Ama2', 'number': 40, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'A 2 -2a'}","['mp-850640', 'mp-760484', 'mp-853432', 'mp-851788', 'mp-1216684', 'mp-1119744', 'mp-1397970', 'mp-1619957', 'mp-1730916']",4.5068,6.500362493841258,,[],"# generated using pymatgen
data_TmBO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.88382294
_cell_length_b   3.88382294
_cell_length_c   8.47066400
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   114.40480089
_symmetry_Int_Tables_number   1
_chemical_formula_structural   TmBO3
_chemical_formula_sum   'Tm2 B2 O6'
_cell_volume   116.35561242
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tm  Tm0  1  0.06417200  0.06417200  0.00000000  1
  Tm  Tm1  1  0.06417200  0.06417200  0.50000000  1
  B  B2  1  0.49584200  0.76404000  0.25000000  1
  B  B3  1  0.76404000  0.49584200  0.75000000  1
  O  O4  1  0.32619700  0.67092000  0.10157200  1
  O  O5  1  0.32619700  0.67092000  0.39842800  1
  O  O6  1  0.87835400  0.98467400  0.25000000  1
  O  O7  1  0.67092000  0.32619700  0.60157200  1
  O  O8  1  0.67092000  0.32619700  0.89842800  1
  O  O9  1  0.98467400  0.87835400  0.75000000  1
",0.0,mp-760484,oxide,[],,"{'eij_max': 1.9694031571265445, 'piezoelectric_tensor': [[0.0, 0.0, 0.0, 0.0, 0.53753, 0.0], [0.0, 0.0, 0.0, 0.02531, 0.0, 0.0], [0.4014699999999999, -0.9489000000000001, 1.6783800000000002, 0.0, 0.0, 0.0]], 'v_max': [0.0, 1.0, 0.0]}","{'e_electronic': [[3.161192, 0.0, 0.0], [0.0, 3.655635, 0.0], [0.0, 0.0, 3.342299]], 'e_total': [[14.111048999999998, 0.0, 0.0], [0.0, 9.336324999999999, 0.0], [0.0, 0.0, 13.792734000000001]], 'n': 1.8402106763447856, 'poly_electronic': 3.3863753333333335, 'poly_total': 12.413369333333334}",False,Tm2B2O6
0,-82.63641143,-8.263641143,128.49753616135,-3.4368272380833327,10,"{'Sm': 2.0, 'B': 2.0, 'O': 6.0}",SmBO3,False,"['B', 'O', 'Sm']",3,0.06081864700000139,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Ama2', 'number': 40, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'A 2 -2a'}","['mp-760477', 'mp-781115', 'mp-844544', 'mp-782807', 'mp-843769', 'mp-1119742', 'mp-1394118', 'mp-1618869', 'mp-1753882']",4.4306,5.406074521045035,,[],"# generated using pymatgen
data_SmBO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.05241451
_cell_length_b   4.05241451
_cell_length_c   8.81102400
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   117.36994138
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SmBO3
_chemical_formula_sum   'Sm2 B2 O6'
_cell_volume   128.49753616
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sm  Sm0  1  0.05605300  0.05605300  0.50000000  1
  Sm  Sm1  1  0.05605300  0.05605300  0.00000000  1
  B  B2  1  0.49920800  0.75668300  0.75000000  1
  B  B3  1  0.75668300  0.49920800  0.25000000  1
  O  O4  1  0.33234600  0.67519700  0.60691500  1
  O  O5  1  0.33234600  0.67519700  0.89308500  1
  O  O6  1  0.88022400  0.94775800  0.75000000  1
  O  O7  1  0.67519700  0.33234600  0.10691500  1
  O  O8  1  0.67519700  0.33234600  0.39308500  1
  O  O9  1  0.94775800  0.88022400  0.25000000  1
",0.0,mp-760477,oxide,[],,"{'eij_max': 1.432561864178996, 'piezoelectric_tensor': [[0.0, 0.0, 0.0, 0.0, 0.44205, 0.0], [0.0, 0.0, 0.0, -0.054310000000000025, 0.0, 0.0], [0.29463, -1.0420300000000002, 0.9378700000000001, 0.0, 0.0, 0.0]], 'v_max': [0.0, 1.0, 0.0]}","{'e_electronic': [[3.172466, 0.0, 0.0], [0.0, 3.824099, 0.0], [0.0, 0.0, 3.3781579999999996]], 'e_total': [[18.304192, 0.0, 0.0], [0.0, 9.868567, 0.0], [0.0, 0.0, 12.746778999999998]], 'n': 1.8596346415358045, 'poly_electronic': 3.4582409999999997, 'poly_total': 13.639845999999999}",False,Sm2B2O6
0,-86.31473593,-8.631473592999999,121.2254944061883,-3.454981252083333,10,"{'Y': 2.0, 'B': 2.0, 'O': 6.0}",YBO3,False,"['B', 'O', 'Y']",3,0.08504993800002758,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Ama2', 'number': 40, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'A 2 -2a'}","['mp-851758', 'mp-853417', 'mp-850603', 'mp-760457', 'mp-1119741', 'mp-1398353', 'mp-1618532', 'mp-1752434']",4.599,4.0467826087455565,,[],"# generated using pymatgen
data_YBO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.96762275
_cell_length_b   3.96762275
_cell_length_c   8.67174700
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   117.37352662
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YBO3
_chemical_formula_sum   'Y2 B2 O6'
_cell_volume   121.22549441
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Y  Y0  1  0.05223000  0.05223000  0.00000000  1
  Y  Y1  1  0.05223000  0.05223000  0.50000000  1
  B  B2  1  0.75860700  0.50183900  0.75000000  1
  B  B3  1  0.50183900  0.75860700  0.25000000  1
  O  O4  1  0.67574600  0.33508500  0.89584900  1
  O  O5  1  0.67574600  0.33508500  0.60415100  1
  O  O6  1  0.95821100  0.89298800  0.75000000  1
  O  O7  1  0.33508500  0.67574600  0.39584900  1
  O  O8  1  0.33508500  0.67574600  0.10415100  1
  O  O9  1  0.89298800  0.95821100  0.25000000  1
",6.5e-07,mp-760457,oxide,[],,"{'eij_max': 1.7113258773827968, 'piezoelectric_tensor': [[0.0, 0.0, 0.0, 0.0, 0.5720200000000001, 0.0], [0.0, 0.0, 0.0, -0.052529999999999966, 0.0, 0.0], [0.32099000000000005, -1.21064, 1.1661700000000002, 0.0, 0.0, 0.0]], 'v_max': [0.0, 1.0, 0.0]}","{'e_electronic': [[3.15005, 0.0, 0.0], [0.0, 3.7814249999999996, 0.0], [0.0, 0.0, 3.362470000000001]], 'e_total': [[17.589313999999998, 0.0, 0.0], [0.0, 9.664739999999998, 0.0], [0.0, 0.0, 14.065598000000001]], 'n': 1.8523809003549998, 'poly_electronic': 3.431315, 'poly_total': 13.773217333333333}",False,Y2B2O6
0,-82.80074711,-8.280074711000001,117.21055077696268,-3.4833123414166662,10,"{'Er': 2.0, 'B': 2.0, 'O': 6.0}",ErBO3,False,"['B', 'Er', 'O']",3,0.09315511799999854,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Ama2', 'number': 40, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'A 2 -2a'}","['mp-844538', 'mp-782801', 'mp-760405', 'mp-843770', 'mp-781045', 'mp-1115323', 'mp-1401874', 'mp-1618555', 'mp-1754105']",4.566700000000001,6.405482703178708,,[],"# generated using pymatgen
data_ErBO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.91566690
_cell_length_b   3.91566690
_cell_length_c   8.60604500
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   117.34165673
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ErBO3
_chemical_formula_sum   'Er2 B2 O6'
_cell_volume   117.21055078
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Er  Er0  1  0.05137900  0.05137900  0.00000000  1
  Er  Er1  1  0.05137900  0.05137900  0.50000000  1
  B  B2  1  0.75981800  0.50246100  0.75000000  1
  B  B3  1  0.50246100  0.75981800  0.25000000  1
  O  O4  1  0.67525200  0.33382900  0.89738300  1
  O  O5  1  0.67525200  0.33382900  0.60261700  1
  O  O6  1  0.96211800  0.89590100  0.75000000  1
  O  O7  1  0.33382900  0.67525200  0.39738300  1
  O  O8  1  0.33382900  0.67525200  0.10261700  1
  O  O9  1  0.89590100  0.96211800  0.25000000  1
",0.0,mp-760405,oxide,[],,"{'eij_max': 1.7612317413957765, 'piezoelectric_tensor': [[0.0, 0.0, 0.0, 0.0, 0.61673, 0.0], [0.0, 0.0, 0.0, 0.06048999999999999, 0.0, 0.0], [0.3281800000000001, -1.18457, 1.26136, 0.0, 0.0, 0.0]], 'v_max': [0.0, 1.0, 0.0]}","{'e_electronic': [[3.1496099999999996, 0.0, 0.0], [0.0, 3.715367, 0.0], [0.0, 0.0, 3.346677]], 'e_total': [[17.64494, 0.0, 0.0], [0.0, 9.59239, 0.0], [0.0, 0.0, 14.505933999999998]], 'n': 1.8449619688943906, 'poly_electronic': 3.4038846666666664, 'poly_total': 13.914421333333332}",False,Er2B2O6
0,-82.80132451,-8.280132451,120.53706474895905,-3.4754976734166667,10,"{'Dy': 2.0, 'B': 2.0, 'O': 6.0}",DyBO3,False,"['B', 'Dy', 'O']",3,0.05999986299999982,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Ama2', 'number': 40, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'A 2 -2a'}","['mp-753318', 'mp-854903', 'mp-851988', 'mp-854190', 'mp-1119696', 'mp-1443957', 'mp-1621048', 'mp-1752625']",4.5198,6.097586218203746,,[],"# generated using pymatgen
data_DyBO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.95612473
_cell_length_b   3.95612473
_cell_length_c   8.67106700
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   117.35275219
_symmetry_Int_Tables_number   1
_chemical_formula_structural   DyBO3
_chemical_formula_sum   'Dy2 B2 O6'
_cell_volume   120.53706475
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Dy  Dy0  1  0.05246200  0.05246200  0.00000000  1
  Dy  Dy1  1  0.05246200  0.05246200  0.50000000  1
  B  B2  1  0.50186900  0.75845500  0.25000000  1
  B  B3  1  0.75845500  0.50186900  0.75000000  1
  O  O4  1  0.33356800  0.67486200  0.10357300  1
  O  O5  1  0.33356800  0.67486200  0.39642700  1
  O  O6  1  0.89241100  0.95757400  0.25000000  1
  O  O7  1  0.67486200  0.33356800  0.60357300  1
  O  O8  1  0.67486200  0.33356800  0.89642700  1
  O  O9  1  0.95757400  0.89241100  0.75000000  1
",0.0,mp-753318,oxide,[],,"{'eij_max': 1.6648885866327512, 'piezoelectric_tensor': [[0.0, 0.0, 0.0, 0.0, 0.5993299999999998, 0.0], [0.0, 0.0, 0.0, 0.01652999999999999, 0.0, 0.0], [0.31583, -1.14077, 1.17079, 0.0, 0.0, 0.0]], 'v_max': [0.0, 1.0, 0.0]}","{'e_electronic': [[3.160692999999999, 0.0, 0.0], [0.0, 3.7547360000000003, 0.0], [0.0, 0.0, 3.3627329999999995]], 'e_total': [[18.146123999999993, 0.0, 0.0], [0.0, 9.746715, 0.0], [0.0, 0.0, 14.01885]], 'n': 1.850960291308271, 'poly_electronic': 3.4260539999999993, 'poly_total': 13.970562999999999}",False,Dy2B2O6
0,-82.79811009,-8.279811009,118.51798572341875,-3.480051825416666,10,"{'Ho': 2.0, 'B': 2.0, 'O': 6.0}",HoBO3,False,"['B', 'Ho', 'O']",3,0.08921288666667238,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Ama2', 'number': 40, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'A 2 -2a'}","['mp-851985', 'mp-753056', 'mp-854899', 'mp-854210', 'mp-1119690', 'mp-1442887', 'mp-1621785', 'mp-1753880']",4.5469,6.269566790805142,,[],"# generated using pymatgen
data_HoBO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.92809569
_cell_length_b   3.92809569
_cell_length_c   8.61853900
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   116.97263901
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HoBO3
_chemical_formula_sum   'Ho2 B2 O6'
_cell_volume   118.51798572
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ho  Ho0  1  0.05374900  0.05374900  0.00000000  1
  Ho  Ho1  1  0.05374900  0.05374900  0.50000000  1
  B  B2  1  0.50132100  0.75885800  0.25000000  1
  B  B3  1  0.75885800  0.50132100  0.75000000  1
  O  O4  1  0.33320900  0.67402400  0.10304900  1
  O  O5  1  0.33320900  0.67402400  0.39695100  1
  O  O6  1  0.89309700  0.96274000  0.25000000  1
  O  O7  1  0.67402400  0.33320900  0.60304900  1
  O  O8  1  0.67402400  0.33320900  0.89695100  1
  O  O9  1  0.96274000  0.89309700  0.75000000  1
",0.0,mp-753056,oxide,[],,"{'eij_max': 1.717010674981376, 'piezoelectric_tensor': [[0.0, 0.0, 0.0, 0.0, 0.60609, 0.0], [0.0, 0.0, 0.0, 0.04132000000000002, 0.0, 0.0], [0.35332, -1.1103000000000003, 1.26116, 0.0, 0.0, 0.0]], 'v_max': [0.0, 1.0, 0.0]}","{'e_electronic': [[3.155338, 0.0, 0.0], [0.0, 3.7342079999999997, 0.0], [0.0, 0.0, 3.357702]], 'e_total': [[17.338437, 0.0, 0.0], [0.0, 9.608658000000002, 0.0], [0.0, 0.0, 13.976277999999999]], 'n': 1.848174594926933, 'poly_electronic': 3.415749333333333, 'poly_total': 13.641124333333332}",False,Ho2B2O6
0,-43.07243664,-4.307243664,204.1370601686714,-2.9465633148076433,10,"{'Cs': 3.0, 'Li': 2.0, 'F': 5.0}",Cs3Li2F5,False,"['Cs', 'F', 'Li']",3,0.04386739600000045,{},True,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fmm2', 'number': 42, 'point_group': 'mm2', 'crystal_system': 'orthorhombic', 'hall': 'F 2 -2'}","['mp-558728', 'mp-1119503', 'mp-1386911']",5.736,4.128959441962315,,[245964],"# generated using pymatgen
data_Cs3Li2F5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   11.71766114
_cell_length_b   11.71061470
_cell_length_c   4.24612455
_cell_angle_alpha   79.65156718
_cell_angle_beta   79.46455206
_cell_angle_gamma   20.88388076
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cs3Li2F5
_chemical_formula_sum   'Cs3 Li2 F5'
_cell_volume   204.13706017
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cs  Cs0  1  0.04918200  0.95081800  0.04918200  1
  Cs  Cs1  1  0.68395600  0.58991300  0.41008700  1
  Cs  Cs2  1  0.41008700  0.31604400  0.68395600  1
  Li  Li3  1  0.84366900  0.71741900  0.28258100  1
  Li  Li4  1  0.28258100  0.15633100  0.84366900  1
  F  F5  1  0.54981000  0.45019000  0.54981000  1
  F  F6  1  0.90723800  0.82057400  0.17942600  1
  F  F7  1  0.23368900  0.26631100  0.23368900  1
  F  F8  1  0.73368900  0.76631100  0.73368900  1
  F  F9  1  0.17942600  0.09276200  0.90723800  1
",0.0001367,mp-558728,None,['Tricesium dilithium pentafluoride'],,"{'eij_max': 1.6742717702033916, 'piezoelectric_tensor': [[-1.3188199999999992, -0.29760000000000003, -0.9875900000000004, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.25377999999999995], [0.0, 0.0, 0.0, 0.0, -0.29680000000000006, 0.0]], 'v_max': [1.0, 0.0, 0.0]}","{'e_electronic': [[2.2763769999999997, 0.0, 0.0], [0.0, 2.2580780000000003, 0.0], [0.0, 0.0, 2.2816000000000005]], 'e_total': [[11.462232, 0.0, 0.0], [0.0, 10.790410999999999, 0.0], [0.0, 0.0, 7.766149]], 'n': 1.5073215759529661, 'poly_electronic': 2.2720183333333335, 'poly_total': 10.006264}",False,Cs3Li2F5
